w,f,f_unc
2.87055081,0.05155232999999999,0.00010310465999999999
2.87121581,0.051641450000000005,0.00010328290000000001
2.87188081,0.05124134999999999,0.00010248269999999998
2.87254581,0.050314189999999995,0.00010062837999999999
2.87321081,0.05007481,0.00010014962
2.87387581,0.050661929999999994,0.00010132385999999998
2.87454081,0.05120598999999999,0.00010241197999999999
2.87520581,0.05149470000000001,0.00010298940000000003
2.87587081,0.05145392999999998,0.00010290785999999996
2.87653581,0.05145169000000001,0.00010290338000000001
2.87720081,0.051048680000000006,0.00010209736000000002
2.87786581,0.05078345000000001,0.00010156690000000002
2.87853081,0.050668090000000006,0.00010133618000000002
2.87919581,0.05052196,0.00010104392
2.87986081,0.05019658,0.00010039316
2.88052581,0.050444499999999996,0.00010088899999999999
2.88119081,0.0506516,0.0001013032
2.88185581,0.050646039999999996,0.00010129208
2.88252081,0.05022181,0.00010044362
2.88318581,0.05017188,0.00010034376000000001
2.88385081,0.04985679,9.971358e-05
2.88451581,0.05017453,0.00010034906
2.88518081,0.05061617999999999,0.00010123235999999998
2.88584581,0.05044381999999999,0.00010088763999999999
2.88651081,0.050658600000000005,0.0001013172
2.88717581,0.05076226,0.00010152452
2.88784081,0.05038594,0.00010077188
2.88850581,0.050465640000000006,0.00010093128000000002
2.88917081,0.050660609999999995,0.00010132121999999999
2.88983581,0.05096835,0.0001019367
2.89050081,0.05083619000000001,0.00010167238000000002
2.89116581,0.05100924,0.00010201847999999999
2.89183081,0.05112365,0.0001022473
2.89249581,0.05149952000000001,0.00010299904000000001
2.89316081,0.051160580000000004,0.00010232116000000001
2.89382581,0.051020949999999995,0.00010204189999999999
2.89449081,0.05090028,0.00010180056
2.89515581,0.051380039999999995,0.00010276007999999999
2.89582081,0.050836730000000004,0.00010167346
2.89648581,0.05048008000000001,0.00010096016000000002
2.89715081,0.05077350000000001,0.00010154700000000002
2.89781581,0.05028175,0.0001005635
2.89848081,0.05000566999999999,0.00010001133999999998
2.89914581,0.049430739999999994,9.886148e-05
2.89981081,0.049187190000000006,9.837438000000002e-05
2.90047581,0.048682359999999994,9.736472e-05
2.90114081,0.048129769999999995,9.625954e-05
2.90180581,0.04770434999999999,9.540869999999999e-05
2.90247081,0.04818021000000001,9.636042000000002e-05
2.90313581,0.04891058000000001,9.782116000000002e-05
2.90380081,0.050083890000000006,0.00010016778000000002
2.90446581,0.050579250000000006,0.00010115850000000002
2.90513081,0.051758599999999995,0.00010351719999999999
2.90579581,0.052064,0.000104128
2.90646081,0.05081198,0.00010162396
2.90712581,0.0504302,0.00010086040000000001
2.90779081,0.050791050000000004,0.00010158210000000001
2.90845581,0.05087428999999999,0.00010174857999999998
2.90912081,0.050772679999999994,0.00010154535999999999
2.90978581,0.05058564000000001,0.00010117128000000002
2.91045081,0.05132133,0.00010264266
2.91111581,0.051558039999999986,0.00010311607999999997
2.91178081,0.05133315999999998,0.00010266631999999996
2.91244581,0.050880289999999995,0.00010176057999999999
2.91311081,0.05100745999999999,0.00010201491999999999
2.91377581,0.05076577000000001,0.00010153154000000003
2.91444081,0.050422959999999996,0.00010084592
2.91510581,0.04962874,9.925748e-05
2.91577081,0.049330299999999994,9.86606e-05
2.91643581,0.04904431,9.808862e-05
2.91710081,0.049259189999999994,9.851838e-05
2.91776581,0.04935491,9.870982000000001e-05
2.91843081,0.051124819999999994,0.00010224964
2.91909581,0.05399559999999999,0.00010799119999999999
2.91976081,0.05502728999999999,0.00011005457999999999
2.92042581,0.05423614,0.00010847228000000001
2.92109081,0.05282395,0.00010564790000000001
2.92175581,0.05155986,0.00010311972
2.92242081,0.051278620000000004,0.00010255724
2.92308581,0.051519600000000006,0.00010303920000000001
2.92375081,0.05120715000000001,0.00010241430000000002
2.92441581,0.05080801000000001,0.00010161602000000001
2.92508081,0.050628080000000006,0.00010125616000000002
2.92574581,0.05016219,0.00010032438000000001
2.92641081,0.04999726999999999,9.999453999999998e-05
2.92707581,0.04981081,9.962161999999999e-05
2.92774081,0.04996487,9.992974000000001e-05
2.92840581,0.049487050000000005,9.897410000000001e-05
2.92907081,0.050180390000000005,0.00010036078000000001
2.92973581,0.05026792,0.00010053584
2.93040081,0.0500956,0.00010019119999999999
2.93106581,0.049590039999999995,9.918007999999999e-05
2.93173081,0.049573610000000004,9.914722e-05
2.93239581,0.04933549,9.867098e-05
2.93306081,0.04845732999999999,9.691465999999999e-05
2.93372581,0.04840527000000001,9.681054000000001e-05
2.93439081,0.04907536999999999,9.815073999999998e-05
2.93505581,0.04907635999999999,9.815271999999999e-05
2.93572081,0.048961489999999996,9.792297999999999e-05
2.93638581,0.04890755,9.78151e-05
2.93705081,0.0483561,9.67122e-05
2.93771581,0.048156559999999994,9.631311999999999e-05
2.93838081,0.04787821999999999,9.575643999999999e-05
2.93904581,0.04895802,9.791603999999999e-05
2.93971081,0.04953816999999999,9.907633999999998e-05
2.94037581,0.05025217,0.00010050434
2.94104081,0.050446060000000015,0.00010089212000000003
2.94170581,0.050399559999999996,0.00010079911999999999
2.94237081,0.04979077000000001,9.958154000000003e-05
2.94303581,0.04935189999999999,9.870379999999998e-05
2.94370081,0.04975089,9.950178e-05
2.94436581,0.04977743999999999,9.955487999999998e-05
2.94503081,0.05012046999999999,0.00010024093999999999
2.94569581,0.050324940000000006,0.00010064988000000001
2.94636081,0.05046627000000001,0.00010093254000000001
2.94702581,0.04948963,9.897926000000001e-05
2.94769081,0.04883872999999999,9.767745999999998e-05
2.94835581,0.048376550000000004,9.675310000000001e-05
2.94902081,0.04866405,9.732810000000001e-05
2.94968581,0.04868002,9.736003999999999e-05
2.95035081,0.04942612000000001,9.885224000000003e-05
2.95101581,0.04920022000000001,9.840044000000002e-05
2.95168081,0.04909536,9.819072e-05
2.95234581,0.04963494,9.926988000000001e-05
2.95301081,0.04932914,9.865828000000001e-05
2.95367581,0.04894381,9.788762e-05
2.95434081,0.04862941999999999,9.725883999999999e-05
