Wavelength,Species,Transition,A-coeff. (/s),E_u (K),Comments,Ref
4.602189342,H2,"v= 4,J=18->v= 4,J=16",9.706e-07,40432.7,,MEUDON
4.602444,CO,"v=1,J= 8->v=0,J= 7",17.17,3281.0,,OTHERS
4.606596252,He I,1Po-1S      1 - 0,1500000.0,278638.3,,CLOUDY
4.6076626,[Fe II],a6D-a4F   5/2 - 5/2,0.0,4083.2,,CLOUDY
4.6087766,H I,7-40,21.45,157704.5,,CLOUDY
4.60902,CO,"v=2,J=15->v=1,J=14",35.14,6780.5,,OTHERS
4.609999,CO,"v=1,J= 7->v=0,J= 6",16.93,3237.1,,OTHERS
4.615976,CO,"v=2,J=14->v=1,J=13",34.89,6699.2,,OTHERS
4.616096886,H2,"v=11,J= 6->v=10,J= 4",3.271e-08,48758.0,,MEUDON
4.6163516,H I,7-39,24.38,157699.3,,CLOUDY
4.617656,CO,"v=1,J= 6->v=0,J= 5",16.66,3198.8,,OTHERS
4.618,[K III],2Po-2Po   3/2 - 1/2,0.118,3115.6,,CLOUDY
4.622495211,H2,"v=11,J=10->v=10,J= 8",1.099e-07,50707.6,,MEUDON
4.623032,CO,"v=2,J=13->v=1,J=12",34.62,6623.2,,OTHERS
4.6245604,H I,7-38,27.81,157693.8,,CLOUDY
4.625415,CO,"v=1,J= 5->v=0,J= 4",16.32,3165.9,,OTHERS
4.627257331,H2,"v= 5,J=20->v= 4,J=20",4.808e-07,46721.2,,MEUDON
4.628011,CH+,"v=1,J=16->v=0,J=17",5.998,9060.8,,OTHERS
4.630189,CO,"v=2,J=12->v=1,J=11",34.35,6552.7,,OTHERS
4.631032153,H2,"v=13,J= 5->v=11,J= 5",1.649e-08,51472.1,,MEUDON
4.633277,CO,"v=1,J= 4->v=0,J= 3",15.88,3138.5,,OTHERS
4.6334768,H I,7-37,31.83,157687.8,,CLOUDY
4.637112441,H2,"v= 9,J= 6->v= 8,J= 6",8.925e-08,43798.1,,MEUDON
4.637447,CO,"v=2,J=11->v=1,J=10",34.05,6487.6,,OTHERS
4.641242,CO,"v=1,J= 3->v=0,J= 2",15.23,3116.6,,OTHERS
4.641501236,H2,"v= 3,J=25->v= 2,J=25",4.869e-07,48688.5,,MEUDON
4.6424613551,He I,3D-1Fo     3 - 3,12000.0,282102.4,Mult  2,CLOUDY
4.6424627369,He I,3D-1Fo     2 - 3,92200.0,282102.4,Mult  2,CLOUDY
4.642469945,H2,"v= 4,J= 5->v= 3,J= 7",1.691e-07,23954.9,,MEUDON
4.6431854,H I,7-36,36.57,157681.3,,CLOUDY
4.644807,CO,"v=2,J=10->v=1,J= 9",33.74,6427.9,,OTHERS
4.6449166442,He I,1D-1Fo     2 - 3,330000.0,282102.4,,CLOUDY
4.647067214,H2,"v= 4,J=24->v= 4,J=22",8.694e-07,49877.9,,MEUDON
4.649312,CO,"v=1,J= 2->v=0,J= 1",14.13,3100.1,,OTHERS
4.649749407,H2,"v= 8,J= 1->v= 7,J= 3",1.748e-07,38707.6,,MEUDON
4.6506154907,9     He I,3Fo-1G      3 - 4,14800.0,282102.6,,CLOUDY
4.6506168308,0     He I,3Fo-3G      3 - 3,30800.0,282102.6,Mult  2,CLOUDY
4.650620996,8     He I,3Fo-3G      3 - 4,510000.0,282102.6,Mult  2,CLOUDY
4.6515937267,35    He I,3G-3Ho     4 - 4,12900.0,282102.7,Mult  2,CLOUDY
4.6515964408,91    He I,3G-3Ho     4 - 5,498000.0,282102.7,Mult  2,CLOUDY
4.6515987577,75    He I,3G-1Ho     5 - 5,9870.0,282102.7,,CLOUDY
4.65227,CO,"v=2,J= 9->v=1,J= 8",33.39,6373.6,,OTHERS
4.653778,H I,5-7,325300.0,154582.7,,CLOUDY
4.6537842,H I,7-35,42.19,157674.3,,CLOUDY
4.655771699,H2,"v= 1,J=12->v= 1,J=10",6.21e-07,17310.8,,MEUDON
4.657486,CO,"v=1,J= 1->v=0,J= 0",11.71,3089.2,,OTHERS
4.659835,CO,"v=2,J= 8->v=1,J= 7",33.01,6324.8,,OTHERS
4.664763773,He I,3D-3Fo     3 - 2,274.7,284019.7,Mult  6,CLOUDY
4.664764597,He I,3D-3Fo     2 - 2,9615.0,284019.7,Mult  6,CLOUDY
4.664764674,He I,3D-3Fo     3 - 4,61810.0,284019.7,Mult  6,CLOUDY
4.664765146,He I,3D-3Fo     3 - 3,6868.0,284019.7,Mult  6,CLOUDY
4.66476597,He I,3D-3Fo     2 - 3,54940.0,284019.7,Mult  6,CLOUDY
4.664776492,He I,3D-3Fo     1 - 2,51920.0,284019.7,Mult  6,CLOUDY
4.6653871,H I,7-34,48.88,157666.6,,CLOUDY
4.666212698,H2,"v= 8,J=11->v= 7,J=11",2.177e-07,44641.1,,MEUDON
4.666284121,He I,1D-1Fo     2 - 3,61770.0,284019.7,,CLOUDY
4.667504,CO,"v=2,J= 7->v=1,J= 6",32.56,6281.3,,OTHERS
4.668124846,H2,"v=12,J=10->v=10,J=10",4.48e-08,51946.6,,MEUDON
4.669777261,He I,3Fo-3G      3 - 3,5654.0,284019.8,Mult  6,CLOUDY
4.669778343,He I,3Fo-3G      3 - 4,65960.0,284019.8,Mult  6,CLOUDY
4.66978076,He I,3Fo-3G      4 - 3,89.75,284019.8,Mult  6,CLOUDY
4.669781277,He I,3Fo-3G      4 - 5,70360.0,284019.8,Mult  6,CLOUDY
4.669781842,He I,3Fo-3G      4 - 4,4398.0,284019.8,Mult  6,CLOUDY
4.669786324,He I,3Fo-3G      2 - 3,64620.0,284019.8,Mult  6,CLOUDY
4.669793414,He I,1Fo-1G      3 - 4,70360.0,284019.8,,CLOUDY
4.67,CO  ice,C-O stretch,,,FWHM =,OTHERS
4.670402144,He I,3G-3Ho     4 - 4,3016.0,284019.8,Mult  6,CLOUDY
4.670402848,He I,3G-3Ho     4 - 5,59230.0,284019.8,Mult  6,CLOUDY
4.670405638,He I,3G-3Ho     5 - 4,30.47,284019.8,Mult  6,CLOUDY
4.670405974,He I,3G-3Ho     5 - 6,61700.0,284019.8,Mult  6,CLOUDY
4.670406342,He I,3G-3Ho     5 - 5,2468.0,284019.8,Mult  6,CLOUDY
4.670408817,He I,3G-3Ho     3 - 4,58650.0,284019.8,Mult  6,CLOUDY
4.67041071,He I,1G-1Ho     4 - 5,61700.0,284019.8,,CLOUDY
4.67054198,He I,3G-3Fo     4 - 4,59.83,284019.7,Mult  3,CLOUDY
4.670542454,He I,3G-3Fo     4 - 3,1154.0,284019.7,Mult  3,CLOUDY
4.670545475,He I,3G-3Fo     5 - 4,1170.0,284019.7,Mult  3,CLOUDY
4.67054615,He I,3Ho-3I      5 - 5,1064.0,284019.8,Mult  2,CLOUDY
4.6705466456,He I,3Ho-3I      5 - 6,31520.0,284019.8,Mult  2,CLOUDY
4.672509,H I,6-11,21100.0,156498.9,,CLOUDY
4.674151,CO,"v=1,J= 0->v=0,J= 1",34.75,3083.7,,OTHERS
4.675276,CO,"v=2,J= 6->v=1,J= 5",32.04,6243.3,,OTHERS
4.676454284,H2,"v= 2,J=13->v= 2,J=11",7.132e-07,23929.6,,MEUDON
4.676636685,H2,"v= 4,J=17->v= 4,J=15",8.896e-07,38859.1,,MEUDON
4.678127,H I,7-33,56.89,157658.2,,CLOUDY
4.682643,CO,"v=1,J= 1->v=0,J= 2",23.04,3089.2,,OTHERS
4.683154,CO,"v=2,J= 5->v=1,J= 4",31.38,6210.7,,OTHERS
4.689790998,H2,"v= 2,J=25->v= 0,J=27",2.586e-11,45588.7,,MEUDON
4.691136,CO,"v=2,J= 4->v=1,J= 3",30.52,6183.6,,OTHERS
4.691242,CO,"v=1,J= 2->v=0,J= 3",20.62,3100.1,,OTHERS
4.69216,H I,7-32,66.54,157649.0,,CLOUDY
4.694613923,H2,"v= 0,J=11->v= 0,J= 9",4.9e-07,10261.4,,MEUDON
4.69494506,He I,3Po-3S      2 - 1,1120000.0,278182.9,Mult  3,CLOUDY
4.694964889,He I,3Po-3S      1 - 1,674000.0,278182.9,Mult  3,CLOUDY
4.695208092,He I,3Po-3S      0 - 1,225000.0,278182.9,Mult  3,CLOUDY
4.69787755,He I,1Po-1D      1 - 2,45250.0,284019.3,,CLOUDY
4.699225,CO,"v=2,J= 3->v=1,J= 2",29.27,6161.9,,OTHERS
4.69995,CO,"v=1,J= 3->v=0,J= 4",19.52,3116.6,,OTHERS
4.699985609,He I,1Po-1D      1 - 2,295000.0,282100.8,,CLOUDY
4.70742,CO,"v=2,J= 2->v=1,J= 1",27.18,6145.6,,OTHERS
4.7076701,H I,7-31,78.22,157638.9,,CLOUDY
4.708766,CO,"v=1,J= 4->v=0,J= 5",18.87,3138.5,,OTHERS
4.713712,CH+,"v=1,J=17->v=0,J=18",6.152,9681.3,,OTHERS
4.715722,CO,"v=2,J= 1->v=1,J= 0",22.52,6134.7,,OTHERS
4.717691,CO,"v=1,J= 5->v=0,J= 6",18.42,3165.9,,OTHERS
4.720031758,H2,"v=11,J= 5->v=10,J= 3",1.664e-08,48365.2,,MEUDON
4.724876,H I,7-30,92.46,157627.8,,CLOUDY
4.726727,CO,"v=1,J= 6->v=0,J= 7",18.08,3198.8,,OTHERS
4.73265,CO,"v=2,J= 0->v=1,J= 1",66.83,6129.3,,OTHERS
4.735873,CO,"v=1,J= 7->v=0,J= 8",17.81,3237.1,,OTHERS
4.737150646,H2,"v= 9,J= 7->v= 8,J= 7",1.048e-07,44392.1,,MEUDON
4.740583003,H2,"v= 4,J=23->v= 3,J=23",5.081e-07,48343.5,,MEUDON
4.741278,CO,"v=2,J= 1->v=1,J= 2",44.31,6134.7,,OTHERS
4.743934845,H2,"v= 9,J=13->v= 7,J=15",3.524e-08,48986.9,,MEUDON
4.7440394,H I,7-29,109.9,157615.5,,CLOUDY
4.745131,CO,"v=1,J= 8->v=0,J= 9",17.57,3281.0,,OTHERS
4.745668895,H2,"v= 4,J=25->v= 4,J=23",7.463e-07,51375.2,,MEUDON
4.746155639,H2,"v= 4,J=22->v= 2,J=24",1.013e-09,46781.8,,MEUDON
4.746645652,H2,"v= 8,J=15->v= 6,J=17",2.231e-08,48555.3,,MEUDON
4.750015,CO,"v=2,J= 2->v=1,J= 3",39.65,6145.6,,OTHERS
4.754502,CO,"v=1,J= 9->v=0,J=10",17.36,3330.3,,OTHERS
4.75542,N I,4F-4Do   9/2 - 7/2,645600.0,153759.9,,HII
4.755794228,H2,"v=11,J=11->v=10,J= 9",1.103e-07,51237.8,,MEUDON
4.758602054,H2,"v= 3,J=14->v= 3,J=12",7.392e-07,30096.6,,MEUDON
4.758863,CO,"v=2,J= 3->v=1,J= 4",37.54,6161.9,,OTHERS
4.75951061,H2,"v= 1,J=30->v= 0,J=30",2.491e-07,51689.3,,MEUDON
4.763986,CO,"v=1,J=10->v=0,J=11",17.17,3385.1,,OTHERS
4.765475,H I,7-28,131.6,157601.8,,CLOUDY
4.766577397,H2,"v= 7,J=15->v= 6,J=15",3.357e-07,45954.0,,MEUDON
4.76756,N I,4F-4Do   7/2 - 5/2,585700.0,153681.9,,HII
4.767822,CO,"v=2,J= 4->v=1,J= 5",36.3,6183.6,,OTHERS
4.772639,N I,4F-4Do   5/2 - 3/2,572200.0,153630.0,,HII
4.773583,CO,"v=1,J=11->v=0,J=12",17.0,3445.3,,OTHERS
4.774179,N I,4F-4Do   3/2 - 1/2,714600.0,153601.8,,HII
4.776893,CO,"v=2,J= 5->v=1,J= 6",35.43,6210.7,,OTHERS
4.77866815,H2,"v= 4,J=16->v= 4,J=14",7.914e-07,37306.5,,MEUDON
4.782733692,H2,"v= 6,J=18->v= 5,J=18",4.237e-07,46830.5,,MEUDON
4.783296,CO,"v=1,J=12->v=0,J=13",16.85,3511.1,,OTHERS
4.786077,CO,"v=2,J= 6->v=1,J= 7",34.77,6243.3,,OTHERS
4.7895651,H I,7-27,158.5,157586.6,,CLOUDY
4.793124,CO,"v=1,J=13->v=0,J=14",16.69,3582.2,,OTHERS
4.795374,CO,"v=2,J= 7->v=1,J= 8",34.24,6281.3,,OTHERS
4.803069,CO,"v=1,J=14->v=0,J=15",16.55,3658.9,,OTHERS
4.803512,CH+,"v=1,J=18->v=0,J=19",6.282,10333.7,,OTHERS
4.804786,CO,"v=2,J= 8->v=1,J= 9",33.79,6324.8,,OTHERS
4.806061357,H2,"v= 7,J=17->v= 5,J=19",1.222e-08,48266.8,,MEUDON
4.812913588,H2,"v= 9,J= 0->v= 8,J= 2",1.549e-07,41903.0,,MEUDON
4.813131,CO,"v=1,J=15->v=0,J=16",16.41,3741.0,,OTHERS
4.814312,CO,"v=2,J= 9->v=1,J=10",33.4,6373.6,,OTHERS
4.814668738,He I,1G-1Ho     4 - 5,2768.0,285090.9,,CLOUDY
4.8167779,H I,7-26,192.5,157569.7,,CLOUDY
4.821013926,H2,"v=10,J=11->v= 8,J=13",4.666e-08,49540.9,,MEUDON
4.823311,CO,"v=1,J=16->v=0,J=17",16.28,3828.6,,OTHERS
4.823955,CO,"v=2,J=10->v=1,J=11",33.04,6427.9,,OTHERS
4.826721464,H2,"v= 2,J=28->v= 1,J=28",4.037e-07,50938.6,,MEUDON
4.83085185,H2,"v= 8,J=12->v= 7,J=12",2.352e-07,45583.5,,MEUDON
4.83361,CO,"v=1,J=17->v=0,J=18",16.15,3921.6,,OTHERS
4.833714,CO,"v=2,J=11->v=1,J=12",32.7,6487.6,,OTHERS
4.843591,CO,"v=2,J=12->v=1,J=13",32.4,6552.7,,OTHERS
4.84403,CO,"v=1,J=18->v=0,J=19",16.02,4020.0,,OTHERS
4.8457052333,He I,1I-1Ko     6 - 7,661.7,285071.9,,CLOUDY
4.847577542,H2,"v=13,J= 2->v=11,J= 4",3.541e-08,50994.6,,MEUDON
4.8476918,H I,7-25,235.5,157550.6,,CLOUDY
4.853586,CO,"v=2,J=13->v=1,J=14",32.11,6623.2,,OTHERS
4.85457,CO,"v=1,J=19->v=0,J=20",15.9,4124.0,,OTHERS
4.857228953,H2,"v= 9,J= 8->v= 8,J= 8",1.214e-07,45049.2,,MEUDON
4.863701,CO,"v=2,J=14->v=1,J=15",31.83,6699.2,,OTHERS
4.865232,CO,"v=1,J=20->v=0,J=21",15.78,4233.3,,OTHERS
4.865821983,H2,"v=11,J= 4->v=10,J= 2",6.363e-09,48026.5,,MEUDON
4.867649657,H2,"v= 5,J=21->v= 4,J=21",4.838e-07,48157.7,,MEUDON
4.873935,CO,"v=2,J=15->v=1,J=16",31.57,6780.5,,OTHERS
4.876017,CO,"v=1,J=21->v=0,J=22",15.65,4348.1,,OTHERS
4.8810282067,He I,1I-1Ko     6 - 7,762.9,285050.4,,CLOUDY
4.8830293,H I,7-24,290.8,157529.1,,CLOUDY
4.884291,CO,"v=2,J=16->v=1,J=17",31.31,6867.3,,OTHERS
4.884775856,H2,"v= 2,J= 7->v= 1,J= 9",7.478e-08,15762.7,,MEUDON
4.886926,CO,"v=1,J=22->v=0,J=23",15.53,4468.3,,OTHERS
4.8891395,[Fe II],a6D-a4F   7/2 - 7/2,0.0,3496.4,,CLOUDY
4.894769,CO,"v=2,J=17->v=1,J=18",31.07,6959.5,,OTHERS
4.897629,CH+,"v=1,J=19->v=0,J=20",6.39,11017.3,,OTHERS
4.89796,CO,"v=1,J=23->v=0,J=24",15.42,4594.0,,OTHERS
4.90537,CO,"v=2,J=18->v=1,J=19",30.82,7057.0,,OTHERS
4.909119,CO,"v=1,J=24->v=0,J=25",15.31,4725.1,,OTHERS
4.909461867,H2,"v= 6,J=19->v= 4,J=21",5.841e-09,48132.5,,MEUDON
4.911050957,H2,"v= 3,J=26->v= 2,J=26",4.828e-07,50333.8,,MEUDON
4.912343453,H2,"v= 4,J=15->v= 4,J=13",6.821e-07,35782.6,,MEUDON
4.916094,CO,"v=2,J=19->v=1,J=20",30.59,7160.0,,OTHERS
4.920405,CO,"v=1,J=25->v=0,J=26",15.19,4861.6,,OTHERS
4.92168567,He I,1I-1Ko     6 - 7,886.6,285026.0,,CLOUDY
4.9237036,H I,7-23,362.5,157504.8,,CLOUDY
4.924420147,H2,"v= 3,J=24->v= 1,J=26",2.374e-10,47010.7,,MEUDON
4.924978085,H2,"v=13,J= 6->v=11,J= 6",1.686e-08,51679.4,,MEUDON
4.926370372,H2,"v= 2,J=12->v= 2,J=10",5.322e-07,22354.5,,MEUDON
4.926944,CO,"v=2,J=20->v=1,J=21",30.35,7268.3,,OTHERS
4.928416651,H2,"v=12,J= 6->v=10,J= 8",5.389e-08,50514.4,,MEUDON
4.93182,CO,"v=1,J=26->v=0,J=27",15.08,5003.5,,OTHERS
4.937919,CO,"v=2,J=21->v=1,J=22",30.12,7382.1,,OTHERS
4.943363,CO,"v=1,J=27->v=0,J=28",14.96,5150.8,,OTHERS
4.949021,CO,"v=2,J=22->v=1,J=23",29.89,7501.2,,OTHERS
4.95028883,He I,3Po-3D      2 - 1,1513.0,283744.9,Mult  6,CLOUDY
4.950291718,He I,3Po-3D      2 - 2,13610.0,283744.9,Mult  6,CLOUDY
4.950291924,He I,3Po-3D      2 - 3,54460.0,283744.9,Mult  6,CLOUDY
4.950295165,He I,3Po-3D      1 - 1,22690.0,283744.9,Mult  6,CLOUDY
4.950298052,He I,3Po-3D      1 - 2,40840.0,283744.9,Mult  6,CLOUDY
4.950372903,He I,3Po-3D      0 - 1,30250.0,283744.9,Mult  6,CLOUDY
4.952196619,H2,"v=10,J= 1->v= 9,J= 1",1.903e-08,44902.6,,MEUDON
4.954095222,H2,"v= 1,J=11->v= 1,J= 9",4.374e-07,15721.5,,MEUDON
4.955036,CO,"v=1,J=28->v=0,J=29",14.86,5303.5,,OTHERS
4.955328649,H2,"v= 6,J= 4->v= 5,J= 6",1.575e-07,32132.0,,MEUDON
4.960251,CO,"v=2,J=23->v=1,J=24",29.66,7625.7,,OTHERS
4.963114857,H2,"v= 5,J=20->v= 5,J=18",6.205e-07,46721.2,,MEUDON
4.96684,CO,"v=1,J=29->v=0,J=30",14.75,5461.6,,OTHERS
4.967400143,H2,"v= 3,J=13->v= 3,J=11",5.826e-07,28555.2,,MEUDON
4.9681321,H2,"v= 5,J=19->v= 5,J=17",6.333e-07,45273.1,,MEUDON
4.9688459409,He I,1I-1Ko     6 - 7,1040.0,284998.3,,CLOUDY
4.9708833,H I,7-22,456.7,157477.1,,CLOUDY
4.97161,CO,"v=2,J=24->v=1,J=25",29.45,7755.5,,OTHERS
4.973843388,H2,"v=11,J=12->v=10,J=10",9.524e-08,51757.2,,MEUDON
4.978777,CO,"v=1,J=30->v=0,J=31",14.63,5625.1,,OTHERS
4.983098,CO,"v=2,J=25->v=1,J=26",29.22,7890.8,,OTHERS
4.985510757,H2,"v= 7,J=16->v= 6,J=16",3.466e-07,47108.8,,MEUDON
4.98701408,H2,"v=10,J= 2->v= 9,J= 2",1.964e-08,45069.6,,MEUDON
4.987822956,H2,"v= 5,J=21->v= 5,J=19",5.842e-07,48157.7,,MEUDON
4.990847,CO,"v=1,J=31->v=0,J=32",14.52,5794.0,,OTHERS
4.994718,CO,"v=2,J=26->v=1,J=27",29.01,8031.4,,OTHERS
5.000482942,H2,"v= 9,J= 9->v= 8,J= 9",1.381e-07,45761.5,,MEUDON
5.002096399,H2,"v= 5,J=18->v= 5,J=16",6.232e-07,43822.2,,MEUDON
5.017945961,H2,"v= 4,J=24->v= 3,J=24",5.026e-07,49877.9,,MEUDON
5.022352772,H2,"v=11,J= 9->v= 9,J=11",4.822e-08,50182.6,,MEUDON
5.0240266657,He I,1I-1Ko     6 - 7,1231.0,284966.5,,CLOUDY
5.024568143,H2,"v= 8,J=13->v= 7,J=13",2.503e-07,46556.5,,MEUDON
5.02540351,H2,"v= 8,J= 2->v= 7,J= 4",1.258e-07,38913.6,,MEUDON
5.0260868,H I,7-21,582.1,157445.3,,CLOUDY
5.031734498,H2,"v= 6,J=19->v= 5,J=19",4.274e-07,48132.5,,MEUDON
5.040232768,H2,"v=10,J= 3->v= 9,J= 3",2.656e-08,45317.0,,MEUDON
5.04969614,H2,"v= 5,J=21->v= 3,J=23",2.406e-09,48157.7,,MEUDON
5.053115155,H2,"v= 0,J=10->v= 0,J= 8",3.236e-07,8677.1,,MEUDON
5.056608666,H2,"v=11,J= 3->v=10,J= 1",1.342e-09,47747.9,,MEUDON
5.059033771,H2,"v= 1,J= 8->v= 0,J=10",3.256e-08,11521.1,,MEUDON
5.0623456,[Fe II],a6D-a4F   3/2 - 5/2,0.0,4083.2,,CLOUDY
5.065780669,H2,"v= 5,J=17->v= 5,J=15",5.922e-07,42377.1,,MEUDON
5.083296459,H2,"v= 4,J=14->v= 4,J=12",5.68e-07,34295.6,,MEUDON
5.0892322718,He I,1I-1Ko     6 - 7,1476.0,284929.8,,CLOUDY
5.0913193,H I,7-20,751.7,157408.6,,CLOUDY
5.098134277,H2,"v= 4,J= 6->v= 3,J= 8",1.156e-07,24733.1,,MEUDON
5.113128866,H2,"v=10,J= 4->v= 9,J= 4",3.612e-08,45641.1,,MEUDON
5.119277363,He I,1Po-1S      1 - 0,5779.0,284924.2,,CLOUDY
5.121238673,He I,1S-1Po     0 - 1,2429.0,284779.0,,CLOUDY
5.1255849898,9     He I,3Fo-1G      3 - 4,3940.0,283745.8,,CLOUDY
5.1255855494,1     He I,3Fo-3G      3 - 3,5800.0,283745.8,Mult  2,CLOUDY
5.1255872836,6     He I,3Fo-3G      3 - 4,90200.0,283745.8,Mult  2,CLOUDY
5.1263280021,87    He I,3G-3Ho     4 - 4,2320.0,283745.8,Mult  2,CLOUDY
5.1263291328,42    He I,3G-3Ho     4 - 5,89500.0,283745.8,Mult  2,CLOUDY
5.1263318102,91    He I,3G-1Ho     5 - 5,1770.0,283745.8,,CLOUDY
5.1264982215,44    He I,3Ho-3I      5 - 5,892.0,283745.8,Mult  2,CLOUDY
5.1264990161,21    He I,3Ho-3I      5 - 6,52000.0,283745.8,Mult  2,CLOUDY
5.1265006647,61    He I,3Ho-1I      6 - 6,714.0,283745.8,,CLOUDY
5.128195813,H2,"v= 2,J=26->v= 0,J=28",3.032e-11,47404.1,,MEUDON
5.128657,H I,6-10,36880.0,156225.1,,CLOUDY
5.140274096,H2,"v= 5,J=23->v= 5,J=21",4.467e-07,50956.7,,MEUDON
5.154608372,H2,"v= 5,J=22->v= 4,J=22",4.78e-07,49573.1,,MEUDON
5.1592591625,He I,3D-3Po     1 - 0,20800.0,283724.1,Mult  6,CLOUDY
5.1592624813,He I,3D-3Po     2 - 1,15600.0,283724.1,Mult  6,CLOUDY
5.1592629275,He I,3D-3Po     3 - 2,17500.0,283724.1,Mult  6,CLOUDY
5.1592639349,He I,3D-3Po     2 - 2,3130.0,283724.1,Mult  6,CLOUDY
5.159277032,He I,3D-3Po     1 - 1,5210.0,283724.1,Mult  6,CLOUDY
5.1592784856,He I,3D-3Po     1 - 2,208.0,283724.1,Mult  6,CLOUDY
5.16139452,H2,"v= 5,J=16->v= 5,J=14",5.435e-07,40945.9,,MEUDON
5.1671609212,He I,1I-1Ko     6 - 7,1793.0,284887.2,,CLOUDY
5.1692801,H I,7-19,985.0,157366.0,,CLOUDY
5.171163115,H2,"v= 9,J=10->v= 8,J=10",1.541e-07,46520.7,,MEUDON
5.179597608,H2,"v= 9,J= 1->v= 8,J= 3",8.635e-08,41997.3,,MEUDON
5.207559316,H2,"v=10,J= 5->v= 9,J= 5",4.756e-08,46037.2,,MEUDON
5.220024672,H2,"v=13,J= 3->v=11,J= 5",2.624e-08,51121.5,,MEUDON
5.222862294,H2,"v= 4,J=23->v= 2,J=25",8.226e-10,48343.5,,MEUDON
5.228259215,H2,"v= 3,J=12->v= 3,J=10",4.405e-07,27073.1,,MEUDON
5.233610314,H2,"v= 3,J= 7->v= 2,J= 9",8.18e-08,20855.7,,MEUDON
5.23672046,H2,"v= 3,J=27->v= 2,J=27",4.693e-07,51937.4,,MEUDON
5.238832463,H2,"v= 2,J=11->v= 2,J= 9",3.79e-07,20853.0,,MEUDON
5.246053689,H2,"v= 7,J=17->v= 6,J=17",3.512e-07,48266.8,,MEUDON
5.254503639,H2,"v= 8,J=14->v= 7,J=14",2.614e-07,47550.5,,MEUDON
5.2615254278,He I,1I-1Ko     6 - 7,2213.0,284837.2,,CLOUDY
5.2636836,H I,7-18,1312.0,157316.1,,CLOUDY
5.27,PAH,,,,FWHM = 0,OTHERS
5.27118957,H2,"v= 8,J=16->v= 6,J=18",1.449e-08,49560.0,,MEUDON
5.272916253,H2,"v= 9,J=14->v= 7,J=16",2.218e-08,49837.4,,MEUDON
5.292678433,H2,"v= 5,J=15->v= 5,J=13",4.814e-07,39536.9,,MEUDON
5.297306103,H2,"v=11,J= 2->v=10,J= 0",1.01e-11,47534.5,,MEUDON
5.299277497,H2,"v= 4,J=13->v= 4,J=11",4.552e-07,32853.7,,MEUDON
5.326125515,H2,"v=10,J= 6->v= 9,J= 6",6.025e-08,46499.5,,MEUDON
5.330049133,H2,"v= 1,J=10->v= 1,J= 8",2.917e-07,14220.5,,MEUDON
5.33103826,H2,"v= 6,J=20->v= 5,J=20",4.221e-07,49420.0,,MEUDON
5.336305718,H2,"v= 7,J=18->v= 5,J=20",8.209e-09,49417.4,,MEUDON
5.339555088,H2,"v=13,J= 7->v=11,J= 7",1.598e-08,51892.1,,MEUDON
5.3401693,[Fe II],a6D-a4F   9/2 - 9/2,0.0,2694.3,,CLOUDY
5.355130554,H2,"v= 4,J=25->v= 3,J=25",4.862e-07,51375.2,,MEUDON
5.368514333,H2,"v=10,J=12->v= 8,J=14",2.844e-08,50230.5,,MEUDON
5.369618,N I,2P-2So   3/2 - 1/2,687700.0,153197.6,,HII
5.375133329,H2,"v= 9,J=11->v= 8,J=11",1.678e-07,47317.8,,MEUDON
5.3775682614,He I,1I-1Ko     6 - 7,2783.0,284778.2,,CLOUDY
5.3797743,H I,7-17,1781.0,157257.1,,CLOUDY
5.415212821,H2,"v= 7,J= 4->v= 6,J= 6",1.087e-07,36050.6,,MEUDON
5.417746337,He I,3S-3Po     1 - 0,31500.0,280838.5,Mult  3,CLOUDY
5.417839449,He I,3S-3Po     1 - 1,31500.0,280838.5,Mult  3,CLOUDY
5.417847037,He I,3S-3Po     1 - 2,31500.0,280838.5,Mult  3,CLOUDY
5.427089179,H2,"v= 3,J=25->v= 1,J=27",2.132e-10,48688.5,,MEUDON
5.432730259,H2,"v= 6,J= 5->v= 5,J= 7",1.097e-07,32711.4,,MEUDON
5.443099123,H2,"v=12,J= 7->v=10,J= 9",3.348e-08,50855.8,,MEUDON
5.453584597,H2,"v= 6,J=20->v= 4,J=22",4.081e-09,49420.0,,MEUDON
5.462545551,H2,"v=10,J= 0->v= 9,J= 2",5.389e-08,44818.5,,MEUDON
5.465195068,H2,"v= 5,J=14->v= 5,J=12",4.106e-07,38158.3,,MEUDON
5.467911005,H2,"v= 8,J= 3->v= 7,J= 5",9.214e-08,39219.5,,MEUDON
5.472425781,H2,"v=10,J= 7->v= 9,J= 7",7.345e-08,47021.3,,MEUDON
5.502545,N I,2P-2Do   1/2 - 3/2,550400.0,160931.3,,HII
5.505717983,H2,"v= 5,J=23->v= 4,J=23",4.602e-07,50956.7,,MEUDON
5.507807051,H2,"v= 5,J= 6->v= 4,J= 8",9.725e-08,29228.5,,MEUDON
5.511183259,H2,"v= 0,J= 9->v= 0,J= 7",2.001e-07,7196.7,,MEUDON
5.516099646,H2,"v= 6,J=19->v= 6,J=17",3.322e-07,48132.5,,MEUDON
5.5229221107,He I,1I-1Ko     6 - 7,3579.0,284707.8,,CLOUDY
5.5251882,H I,7-16,2471.0,157186.7,,CLOUDY
5.53098254,H2,"v= 8,J=15->v= 7,J=15",2.665e-07,48555.3,,MEUDON
5.550083,N I,2P-2Do   3/2 - 5/2,643700.0,161007.0,,HII
